pwm,tf,nvar,cons_aff,best_aff,dT,dN,dS,d_rep,same,rho,bucket
SPI1_Hsapiens-jaspar2016-SPI1-MA0080.1,SPI1,9,0.5301993716416609,0.040320327412908606,2.5439457629389017,0.7685882419436165,1.7753575209952852,0,False,-0.15,tumor-gain
SPI1_Hsapiens-jaspar2016-SPI1-MA0080.2,SPI1,4,0.01448692154285831,0.01448692154285831,0.0,0.0,0.0,0,True,0.7999999999999999,neutral
SPI1_Hsapiens-jaspar2016-SPI1-MA0080.4,SPI1,5,0.05231058295595393,0.03155853342615096,0.957901742291796,0.11064711729963946,0.8472546249921565,0,False,-0.8999999999999998,tumor-gain
SPI1_Hsapiens-jaspar2018-SPI1-MA0080.1,SPI1,7,0.03951437846975429,0.03951437846975429,0.0,0.0,0.0,0,True,0.6071428571428572,neutral
SPI1_Hsapiens-jaspar2018-SPI1-MA0080.2,SPI1,9,0.008740423509197737,0.008740423509197737,0.0,0.0,0.0,0,True,0.4666666666666666,neutral
SPI1_Hsapiens-jaspar2018-SPI1-MA0080.4,SPI1,7,0.035648996635390874,0.018219440698849614,-0.3820421543487198,-1.4689330584930462,1.0868909041443264,0,False,-0.5714285714285715,normal-suppression
SPI1_Hsapiens-jolma2013-SPI1,SPI1,4,0.016377677277020494,0.012531044404338918,-0.2060201292969232,-1.0336383042656154,0.8276181749686922,0,False,-0.7999999999999999,normal-suppression
SPI1_disc1 SPI1_K562_encode-Myers_seq_hsa_r1:MDscan#2#Intergenic,SPI1,10,1.0,0.15229233725595726,0.5022141368483001,0.11620761282984392,0.38600652401845614,0,False,0.19999999999999998,neutral
SPI1_disc2 SPI1_GM12878_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic,SPI1,6,1.0,0.047389912617075654,0.21177745416517443,-0.46405489108322034,0.6758323452483948,0,False,-0.08571428571428573,other
SPI1_disc3 SPI1_GM12878_encode-Myers_seq_hsa_r1:AlignACE#2#Intergenic,SPI1,3,0.736842105263158,0.291907961428879,0.0011611959212317479,-0.19649924363684357,0.19766043955807533,0,False,,neutral
SPI1_known1	SPI1_1	PU.1_transfac_M00658,SPI1,3,1.0,0.2234300473552357,0.7924225725138466,-1.0573819062785494,1.8498044787923962,0,False,,tumor-gain
SPI1_known2	SPI1_2	SPI1_jaspar_MA0080.2,SPI1,10,1.0,0.15259420831458445,-1.219572156646779,-1.6431278165961227,0.42355565994934374,0,False,0.06079055436800646,neutral
SPI1_known3	SPI1_3	Sfpi1_bulyk_sc09-primary,SPI1,3,0.8371219000282649,0.4543070231395098,-1.8895660294121,-2.7048495632513117,0.8152835338392117,0,False,,divergent
SPI1_known4	SPI1_4	SPI1_jolma_full_M123,SPI1,3,0.5685034817613129,0.25108575119487087,-0.3734381131468437,-1.8163671399151193,1.4429290267682755,0,False,,normal-suppression
