tf,sensor_log2_selectivity,tf_mrna_log10_ratio
TFE3,2.37136,-0.02572
MAX,2.36635,0.13856
MYC,2.36609,0.22497
MYC,2.36408,0.22497
E2F3,2.36394,0.35972
CREB3L1,2.36283,-0.29251
ATF4,2.36261,0.11374
MAX,2.36114,0.13856
MAX,2.36077,0.13856
E2F8,2.35725,0.20928
E2F1,2.35393,-0.14567
BHLHE40,2.34974,0.12349
E2F3,2.34911,0.35972
MAX,2.34799,0.13856
MAX,2.34022,0.13856
MYC,2.33699,0.22497
MAFK,2.33624,-0.18717
MYC,2.3358,0.22497
IRF9,2.33557,0.07959
MYC,2.33409,0.22497
MYC,2.33315,0.22497
BHLHE40,2.33269,0.12349
E2F3,2.32878,0.35972
E2F1,2.32796,-0.14567
YY2,2.32677,-0.33904
MAX,2.32651,0.13856
YY2,2.32427,-0.33904
ATF4,2.32316,0.11374
MAX,2.32292,0.13856
BHLHE40,2.32159,0.12349
E2F1,2.32158,-0.14567
E2F2,2.32004,0.546
MYBL2,2.31982,-0.19707
BHLHE40,2.31971,0.12349
MYC,2.3177,0.22497
E2F2,2.31693,0.546
E2F1,2.316,-0.14567
MYC,2.31598,0.22497
CREB3L1,2.31469,-0.29251
YY1,2.31291,0.14859
TEF,2.31267,-0.46806
MYC,2.312,0.22497
CREB3L1,2.31136,-0.29251
FOSL2,2.31003,0.07854
E2F3,2.30854,0.35972
E2F4,2.30769,0.14148
MAX,2.30555,0.13856
MYC,2.30384,0.22497
E2F2,2.30302,0.546
MAX,2.30174,0.13856
MLXIPL,2.30123,1.28556
E2F3,2.30108,0.35972
MYC,2.29789,0.22497
CREB3L1,2.29593,-0.29251
IRF3,2.29454,-0.1629
MTF1,2.29298,0.11672
MYC,2.29046,0.22497
MYC,2.28733,0.22497
MYC,2.2866,0.22497
E2F4,2.28428,0.14148
CREB3L1,2.28214,-0.29251
BHLHE40,2.28165,0.12349
MAX,2.27916,0.13856
MYC,2.27868,0.22497
NR3C2,2.27605,0.66608
TGIF1,2.27499,0.24022
E2F1,2.27249,-0.14567
MAX,2.27189,0.13856
SIRT6,2.27007,-0.01814
HEY2,2.26941,1.09575
