tf,sensor_log2_selectivity,tf_mrna_log10_ratio
PTEN,-0.50121,0.03658
BDP1,-0.50126,0.41219
IRX5,-0.50128,0.75392
NFATC1,-0.50135,1.17367
NKX2-5,-0.50141,1.55041
NFATC1,-0.50145,1.17367
RBPJ,-0.50151,0.06557
NR1D1,-0.50157,0.0778
TFAP2C,-0.50165,0.6037
RXRA,-0.50168,0.30198
FOXG1,-0.50177,1.5762
ETV5,-0.50186,0.00428
TCF4,-0.50193,-0.83621
HOXD13,-0.50213,1.61407
TFAP2C,-0.50216,0.6037
SMAD1,-0.50223,-0.01057
SMAD3,-0.50224,-0.38086
YY2,-0.50227,-0.33904
GRHL1,-0.5023,0.60779
TFAP2A,-0.50254,-0.00481
ETV4,-0.50256,0.15297
TFAP2A,-0.50257,-0.00481
BHLHE41,-0.50258,-0.53218
RPP25,-0.50259,0.70366
DLX1,-0.5026,0.10983
PRDM4,-0.50262,0.23073
SF3B1,-0.50278,-0.00878
SIN3A,-0.50279,0.04933
ESRRB,-0.50285,1.09807
EMX2,-0.50287,1.14301
MRPL2,-0.50288,0.06913
LMX1B,-0.50304,1.549
ZBTB4,-0.50306,-0.18334
NFYA,-0.5031,-0.02481
HOXA13,-0.50314,1.58967
NR2C1,-0.50316,0.14754
RXRB,-0.50321,0.14875
NFIC,-0.50324,-0.21458
GATA3,-0.50331,0.63765
MYBL1,-0.50335,0.21759
BARHL2,-0.50337,1.83251
FOXD2,-0.50338,0.92604
TFAP2C,-0.50341,0.6037
TCF4,-0.50344,-0.83621
ELF4,-0.50349,-0.23961
VDR,-0.50354,0.18204
GLI2,-0.50363,0.00519
SRF,-0.50384,-0.18877
TLX2,-0.50391,1.02462
LEF1,-0.50391,0.99309
MESP1,-0.50399,0.43381
FOXO4,-0.50432,0.05375
SMAP2,-0.50433,0.05035
NR4A2,-0.50434,0.11007
NR3C1,-0.50436,-0.11267
SOX8,-0.50443,0.98528
ZNF784,-0.50444,-0.1146
GATA2,-0.50445,-0.05162
ZNF524,-0.50454,-0.36672
BARHL2,-0.50457,1.83251
TFAP4,-0.50471,0.30334
HOXA13,-0.50474,1.58967
TCF3,-0.50476,-0.11833
MEF2D,-0.50477,-0.06654
NFKB1,-0.50486,-0.02496
TCF7,-0.50493,0.17771
STAT4,-0.50495,0.55131
SOX18,-0.50497,1.26007
MZF1,-0.50507,0.10253
PAX2,-0.50525,1.0569
TFAP4,-0.50529,0.30334
GATA6,-0.5053,-0.4102
NRF1,-0.50532,-0.06707
ETV2,-0.50542,-0.21244
HIC1,-0.50543,-0.93177
LHX6,-0.50555,1.97772
JUND,-0.50561,-0.03685
NR2F1,-0.50571,-0.40683
VDR,-0.50575,0.18204
NRF1,-0.50577,-0.06707
BARHL2,-0.50581,1.83251
NFATC1,-0.50592,1.17367
HNF4G,-0.50597,0.89252
NR3C1,-0.50607,-0.11267
INSM1,-0.5063,1.22789
RXRA,-0.50635,0.30198
NFIB,-0.5065,-0.34392
PPARG,-0.50658,-0.0062
MAF,-0.5066,1.50435
ZBTB6,-0.50665,0.06759
CXXC1,-0.50674,-0.20636
RFX3,-0.50677,0.21238
SMAD4,-0.50688,0.01087
YY1,-0.50691,0.14859
RFX5,-0.50697,0.24121
ID4,-0.50699,-0.49292
FOXD2,-0.50709,0.92604
PDX1,-0.50712,1.13033
ARNT,-0.5072,0.03492
GMEB1,-0.50721,-0.0629
GZF1,-0.50722,-0.10714
MGA,-0.50731,0.06935
NKX3-2,-0.50744,1.28354
TEAD3,-0.50757,-0.10294
DMRT2,-0.50762,-0.75849
MAFG,-0.50762,-0.03675
ERG,-0.50763,1.54862
JDP2,-0.50768,0.49816
TFAP2A,-0.50776,-0.00481
ETV5,-0.5078,0.00428
MGA,-0.50786,0.06935
TP73,-0.50787,1.60948
STAT2,-0.50794,0.19114
RAD21,-0.50794,0.33699
MSX2,-0.50795,1.37658
SMAD1,-0.50796,-0.01057
TFAP2C,-0.50803,0.6037
NR2F2,-0.50811,-0.04126
TFCP2,-0.50817,-0.18064
NFYA,-0.5083,-0.02481
VDR,-0.50835,0.18204
RBPJ,-0.50841,0.06557
ESRRA,-0.50842,0.36686
NFYA,-0.50846,-0.02481
DIABLO,-0.50848,-0.00431
TEAD1,-0.50849,0.23157
MYC,-0.50852,0.22497
NFYA,-0.5087,-0.02481
SOX4,-0.50879,-0.13172
IRF1,-0.50881,0.07358
OTX1,-0.50884,0.61502
MYC,-0.50887,0.22497
MYC,-0.50889,0.22497
SOX6,-0.50891,0.35826
TBX3,-0.509,-0.64016
NFATC2,-0.50903,0.12494
MYBL1,-0.50904,0.21759
ELK4,-0.50914,0.1604
HOXA3,-0.50916,-0.49974
MSX1,-0.50918,0.83405
TCF4,-0.50919,-0.83621
EPAS1,-0.50924,-0.67374
HOXA2,-0.50927,-0.49643
HOXC4,-0.50938,0.94279
SMAD1,-0.50954,-0.01057
SMAD3,-0.50956,-0.38086
NR4A1,-0.50962,0.49659
NR3C2,-0.50967,0.66608
FOXP1,-0.50984,-0.47893
NFKB1,-0.50995,-0.02496
NR4A2,-0.51001,0.11007
ZEB1,-0.51002,-0.14882
DDX20,-0.51005,0.2126
UBB,-0.51018,-0.44848
ELF1,-0.5102,-0.0385
BHLHE41,-0.51024,-0.53218
ELK3,-0.51024,-0.31483
THRB,-0.51039,0.86606
RAB7A,-0.51042,0.0373
EOMES,-0.51047,1.4624
KLF9,-0.51048,-0.19621
ETV1,-0.51061,0.0445
FOS,-0.51061,0.11477
USF1,-0.51065,-0.13268
OLIG2,-0.51068,0.79877
CEBPB,-0.51076,0.1585
HNF4G,-0.51078,0.89252
TBX2,-0.51082,0.74219
DTL,-0.51083,-0.3358
HESX1,-0.51085,0.17438
NKX3-1,-0.51091,-0.17361
SNAI2,-0.51098,-0.12542
ETV6,-0.51101,-0.12382
ETV5,-0.51108,0.00428
USF2,-0.51109,-0.17263
GLI2,-0.51109,0.00519
EGR1,-0.51115,0.22639
MEIS3,-0.51119,0.68303
TFAP4,-0.51127,0.30334
FOXF2,-0.51134,0.41095
MSC,-0.51136,0.03375
NFYB,-0.51138,-0.01498
UBP1,-0.51144,0.11819
TCF4,-0.51153,-0.83621
SMAD3,-0.51157,-0.38086
HDX,-0.51161,0.08585
IRF7,-0.51176,-0.16734
HNF4G,-0.51177,0.89252
MAFF,-0.51183,0.15237
GABPA,-0.51185,-0.14939
ZFHX3,-0.51192,0.80452
GATA3,-0.51202,0.63765
SMAD2,-0.51254,-0.33837
EP300,-0.51262,0.07356
TFAP2C,-0.51268,0.6037
IRF1,-0.51274,0.07358
HAND1,-0.5128,0.94118
EGR2,-0.5128,1.68485
HOXA5,-0.51282,0.04334
SOX8,-0.51283,0.98528
ETV4,-0.51286,0.15297
AHR,-0.51292,-0.31593
MEF2C,-0.51295,0.40985
TFAP2C,-0.51305,0.6037
HOXD13,-0.51313,1.61407
PAX6,-0.51318,0.87769
MEOX1,-0.51319,0.5983
REST,-0.51321,0.20711
PBX2,-0.51323,0.47253
TFAP2C,-0.51333,0.6037
MESP1,-0.51336,0.43381
FOXD2,-0.51348,0.92604
SOX9,-0.51372,0.21723
ELF4,-0.51373,-0.23961
PBX1,-0.51386,-0.73611
RXRA,-0.51389,0.30198
ELK4,-0.514,0.1604
FOXO4,-0.51403,0.05375
FOXO3,-0.51405,-0.09404
CEBPG,-0.51407,0.22789
HMX1,-0.51407,1.5563
ID4,-0.51407,-0.49292
EN1,-0.51418,1.50651
CREB3L1,-0.51427,-0.29251
SOX18,-0.51428,1.26007
MESP1,-0.51428,0.43381
SOX18,-0.51433,1.26007
SOX2,-0.51451,1.37658
DLX4,-0.51452,1.70529
NFATC1,-0.51454,1.17367
TFAP2A,-0.51468,-0.00481
TFAP2A,-0.51471,-0.00481
ZC3H7A,-0.51482,0.06914
POU6F1,-0.51487,-0.06658
NRF1,-0.51487,-0.06707
RARA,-0.51487,-0.25519
PPARA,-0.51495,0.48827
EGR1,-0.51523,0.22639
SOCS4,-0.51524,0.20644
ETS1,-0.51544,0.2381
E2F1,-0.51548,-0.14567
ELF2,-0.51554,0.08062
MYBL1,-0.51559,0.21759
TFAP2A,-0.51562,-0.00481
SOX17,-0.51562,-2.18298
ESRRA,-0.51566,0.36686
TCF12,-0.51572,-0.03309
AHR,-0.51573,-0.31593
TCF7,-0.51574,0.17771
REL,-0.51575,0.12775
TCF4,-0.51606,-0.83621
ZEB1,-0.5161,-0.14882
ELF4,-0.51612,-0.23961
SOX8,-0.51621,0.98528
TCF3,-0.51628,-0.11833
FOS,-0.5163,0.11477
ID4,-0.51633,-0.49292
TFAP2A,-0.51635,-0.00481
TFAP2A,-0.51641,-0.00481
SOX8,-0.51646,0.98528
SOX8,-0.51648,0.98528
PRRX1,-0.5165,-0.44294
SRF,-0.5166,-0.18877
NR2F6,-0.5167,-0.07863
ETS1,-0.51671,0.2381
BCL6,-0.51675,-0.46691
ZNF589,-0.51676,0.55279
NFIA,-0.51683,0.15147
NRF1,-0.51702,-0.06707
GTF2I,-0.51715,-0.05514
ETS1,-0.51722,0.2381
PBX2,-0.51724,0.47253
NFIL3,-0.51731,0.04188
ZNF8,-0.51746,0.67552
NFIC,-0.51747,-0.21458
EXO5,-0.51751,0.14677
NFE2,-0.51755,0.59563
KLF8,-0.51759,1.24055
ESRRG,-0.51764,1.19866
FOSL2,-0.51773,0.07854
HOXC13,-0.51774,0.9857
POU6F1,-0.51798,-0.06658
EWSR1,-0.51803,0.02003
NELFA,-0.51804,0.00211
ESRRA,-0.51814,0.36686
JUN,-0.51821,0.26082
RFX3,-0.51823,0.21238
GLI2,-0.51825,0.00519
BHLHE40,-0.51832,0.12349
EPAS1,-0.51838,-0.67374
EZH2,-0.51848,0.24374
CUX1,-0.51849,-0.02564
ZBTB4,-0.5185,-0.18334
VDR,-0.51868,0.18204
NFIL3,-0.5188,0.04188
MZF1,-0.5188,0.10253
GTF2I,-0.51911,-0.05514
HOXA11,-0.51924,0.40226
SPAG7,-0.51934,-0.25837
TFAP4,-0.51936,0.30334
EOMES,-0.51938,1.4624
EGR2,-0.51938,1.68485
NR2F6,-0.5194,-0.07863
THRB,-0.51954,0.86606
PROX1,-0.51959,1.25768
GATA3,-0.51963,0.63765
OTUD4,-0.51964,0.10643
RARA,-0.51969,-0.25519
THRA,-0.5197,-0.23344
SREBF2,-0.51981,0.00057
FOXC2,-0.52016,-2.00079
GATA4,-0.52019,-1.3276
SP1,-0.52029,0.23865
STAT1,-0.52033,-0.01743
EMX2,-0.52036,1.14301
LMX1B,-0.52036,1.549
FOXP1,-0.52046,-0.47893
TFEB,-0.52047,-0.41856
HIC1,-0.52047,-0.93177
NFIA,-0.52054,0.15147
THRB,-0.52055,0.86606
ZNF784,-0.52058,-0.1146
GATA2,-0.52058,-0.05162
ALX1,-0.52062,0.03003
HMX1,-0.52073,1.5563
FOXJ3,-0.52074,0.24609
JUND,-0.52078,-0.03685
NR2F1,-0.52085,-0.40683
PAX9,-0.52097,1.51678
NR3C1,-0.52103,-0.11267
MSX1,-0.52104,0.83405
XBP1,-0.52109,0.09852
SOX2,-0.52111,1.37658
ESRRG,-0.52115,1.19866
ZBTB3,-0.52121,0.39844
MYBL1,-0.52125,0.21759
NFYB,-0.52133,-0.01498
ETV6,-0.52134,-0.12382
HOXA1,-0.52141,0.09858
ELF2,-0.52158,0.08062
PAX2,-0.52159,1.0569
CEBPG,-0.52167,0.22789
TBP,-0.52168,0.01746
GATA2,-0.52187,-0.05162
ZKSCAN1,-0.52191,0.25502
LEF1,-0.52203,0.99309
MGA,-0.52218,0.06935
TGIF1,-0.52221,0.24022
NKX2-5,-0.52222,1.55041
BARX1,-0.52237,1.13672
NFYB,-0.52242,-0.01498
NR3C1,-0.52261,-0.11267
SP3,-0.52265,0.05187
RUNX3,-0.52282,1.32536
NKX2-8,-0.52293,1.30963
NRL,-0.52301,0.13212
TCF4,-0.52301,-0.83621
USF1,-0.52315,-0.13268
SOX15,-0.52328,-0.29176
SOX17,-0.52329,-2.18298
ZEB1,-0.5233,-0.14882
ZNF589,-0.5233,0.55279
PPARA,-0.52332,0.48827
RFX2,-0.52351,0.09243
TAF1,-0.52362,0.11649
FOXA1,-0.52363,0.59218
ZBTB4,-0.52365,-0.18334
SMAD1,-0.52367,-0.01057
HOXB9,-0.5238,0.83234
NFYA,-0.5238,-0.02481
MEIS3,-0.52381,0.68303
PRRX1,-0.52387,-0.44294
MAFA,-0.52396,1.66573
HOXA13,-0.52407,1.58967
GATA2,-0.52418,-0.05162
LBX2,-0.52443,1.06169
PBX1,-0.52457,-0.73611
NKX3-2,-0.52462,1.28354
TFAP2A,-0.52473,-0.00481
PITX1,-0.5248,2.66087
SMAD4,-0.52485,0.01087
SOX2,-0.52492,1.37658
TPPP,-0.52506,1.254
TFAP4,-0.52508,0.30334
CUX1,-0.52512,-0.02564
SOX7,-0.52527,0.94009
MSX1,-0.5253,0.83405
GMEB2,-0.52532,0.07687
FOXO4,-0.52533,0.05375
ESRRA,-0.52539,0.36686
TLX2,-0.52547,1.02462
MAX,-0.52548,0.13856
EGR1,-0.52552,0.22639
MEIS1,-0.52577,-0.46847
SMAD3,-0.52579,-0.38086
AR,-0.52601,0.74347
GABPA,-0.52601,-0.14939
CEBPA,-0.52605,1.86054
NFIL3,-0.52606,0.04188
PROX1,-0.52608,1.25768
EGR1,-0.52609,0.22639
NFE2L2,-0.52619,0.01426
HSF1,-0.52621,0.46176
BACH1,-0.5263,-0.08588
MYBL1,-0.52635,0.21759
REL,-0.52638,0.12775
ARID3A,-0.52667,0.49887
STAT3,-0.52668,-0.16234
ELF1,-0.5267,-0.0385
MSX1,-0.52674,0.83405
CEBPA,-0.527,1.86054
FOXD1,-0.52701,0.21153
FOS,-0.52717,0.11477
TBX20,-0.5273,1.45484
RARA,-0.52746,-0.25519
MNT,-0.5275,0.05603
EP300,-0.5276,0.07356
BARX1,-0.52769,1.13672
HOXA5,-0.5277,0.04334
SNAPC5,-0.52773,-0.15661
GLI2,-0.52787,0.00519
TP53,-0.52794,-0.06103
NR1H2,-0.52799,-0.17777
ZEB1,-0.52805,-0.14882
ARNT,-0.52811,0.03492
SOX2,-0.52817,1.37658
CEBPB,-0.52851,0.1585
TBP,-0.52855,0.01746
TWIST1,-0.52863,-0.19509
HOXB9,-0.52867,0.83234
ETS1,-0.52868,0.2381
FOXD1,-0.52869,0.21153
ZNF713,-0.52872,0.09838
LHX6,-0.52875,1.97772
TFAP4,-0.52883,0.30334
REL,-0.52884,0.12775
THAP1,-0.5289,0.30516
VAX2,-0.52915,-0.14018
YY1,-0.52915,0.14859
EN1,-0.52918,1.50651
ISL1,-0.52926,1.63749
NFKB1,-0.52926,-0.02496
MESP1,-0.52945,0.43381
EN1,-0.52946,1.50651
ELF1,-0.52946,-0.0385
KLF3,-0.52947,0.08462
ITGB2,-0.5296,1.87118
ZBTB3,-0.52969,0.39844
RUNX2,-0.52986,-0.44748
TFAP2A,-0.52994,-0.00481
BARHL2,-0.53001,1.83251
KLF4,-0.53012,1.14393
BCL6,-0.53014,-0.46691
SOX18,-0.53017,1.26007
CUX1,-0.53026,-0.02564
ETS1,-0.53033,0.2381
SMAD3,-0.53037,-0.38086
ETV3,-0.53039,0.22639
EOMES,-0.53044,1.4624
HSF1,-0.53047,0.46176
TRIP10,-0.53052,0.29724
MEIS1,-0.53058,-0.46847
GATA3,-0.53064,0.63765
HNF4G,-0.53067,0.89252
SOX9,-0.53082,0.21723
TBX20,-0.53086,1.45484
NONO,-0.53089,0.07184
REL,-0.53092,0.12775
ZIC3,-0.53095,1.58206
GRHL1,-0.53096,0.60779
EGR1,-0.53111,0.22639
AHR,-0.53114,-0.31593
ARNT,-0.53145,0.03492
MEOX1,-0.53172,0.5983
STAT3,-0.53175,-0.16234
MZF1,-0.5318,0.10253
TCF3,-0.53187,-0.11833
ESRRG,-0.53203,1.19866
NFATC3,-0.53203,0.26356
GRHL1,-0.53206,0.60779
POU2F2,-0.53217,-0.79029
TFAP2A,-0.53218,-0.00481
NKX2-1,-0.53222,2.41647
TP53,-0.53222,-0.06103
IRF7,-0.53242,-0.16734
SOX8,-0.53246,0.98528
GMEB1,-0.53271,-0.0629
ZEB1,-0.53277,-0.14882
FOXB1,-0.53277,1.39094
ELK4,-0.53278,0.1604
CREB3L1,-0.53284,-0.29251
ERG,-0.53285,1.54862
IRF9,-0.53285,0.07959
PBX1,-0.53296,-0.73611
LEF1,-0.53315,0.99309
POU5F1,-0.53323,-0.17881
GMEB2,-0.53324,0.07687
TCF12,-0.53325,-0.03309
ATF3,-0.53327,0.74563
FOXD3,-0.53329,1.66375
SIX5,-0.53332,-0.04506
TCF7L1,-0.5334,-0.12623
TFAP2A,-0.53345,-0.00481
ELK1,-0.53348,-0.14318
HOXA11,-0.53352,0.40226
VAX2,-0.53357,-0.14018
FOXP3,-0.53358,0.80403
LEF1,-0.53363,0.99309
REST,-0.53367,0.20711
ARNT,-0.53374,0.03492
ELK3,-0.53374,-0.31483
ERF,-0.53378,-0.20753
HSF4,-0.53381,1.04243
EMX1,-0.53382,1.22011
MYBL2,-0.53396,-0.19707
CEBPG,-0.53402,0.22789
FOXO1,-0.53416,0.19161
TCF12,-0.53419,-0.03309
MEIS3,-0.53435,0.68303
NRF1,-0.53445,-0.06707
PRDM4,-0.53447,0.23073
TRIM21,-0.53452,-0.18352
TCF4,-0.53464,-0.83621
FOXA3,-0.53466,1.07463
ESX1,-0.53468,1.18752
LHX6,-0.53476,1.97772
CEBPG,-0.53485,0.22789
BACH1,-0.53488,-0.08588
TOPORS,-0.53491,-0.16762
EGR1,-0.53494,0.22639
ELF1,-0.535,-0.0385
RXRA,-0.53505,0.30198
SOX2,-0.53512,1.37658
HOXA5,-0.53522,0.04334
NFE2L1,-0.53524,-0.03223
NFE2L2,-0.53526,0.01426
FOXP3,-0.53528,0.80403
PURG,-0.5353,0.64052
ESRRA,-0.53533,0.36686
SRF,-0.53537,-0.18877
PQBP1,-0.53539,0.02009
BCL3,-0.53544,-0.30304
HOXD11,-0.53561,0.14834
ETV1,-0.53564,0.0445
REL,-0.53564,0.12775
HIC2,-0.5357,0.48876
ZKSCAN3,-0.53594,0.45019
EMX1,-0.53616,1.22011
BARHL2,-0.53616,1.83251
NFIL3,-0.53618,0.04188
ASPSCR1,-0.53621,-0.23327
GATA3,-0.53626,0.63765
ZIC2,-0.5363,2.51825
DDIT3,-0.53631,0.31605
ZHX3,-0.53636,-0.03225
TEAD1,-0.53651,0.23157
TP53,-0.53652,-0.06103
SOX7,-0.53656,0.94009
MEOX1,-0.53658,0.5983
OTX1,-0.53668,0.61502
ARNT,-0.53705,0.03492
ETV4,-0.53712,0.15297
TFAP2A,-0.53719,-0.00481
GFI1,-0.53723,0.95373
FOXP3,-0.53728,0.80403
BARHL2,-0.53728,1.83251
ERF,-0.53735,-0.20753
OSR1,-0.53739,-0.53062
NFE2L2,-0.53744,0.01426
SOX9,-0.5376,0.21723
SRF,-0.53793,-0.18877
FOXO1,-0.53806,0.19161
TGIF2,-0.53808,0.13496
OTX1,-0.5381,0.61502
JUNB,-0.5381,0.12824
PKNOX2,-0.53833,0.45558
BHLHE40,-0.53837,0.12349
ELK3,-0.53845,-0.31483
TAF1,-0.53846,0.11649
TFAP2C,-0.53858,0.6037
TEF,-0.53866,-0.46806
MYBL2,-0.53876,-0.19707
MYB,-0.5389,-0.11523
LBX2,-0.53896,1.06169
HOXA1,-0.5392,0.09858
TFAP2C,-0.53927,0.6037
NME1,-0.53928,-0.05802
TBX1,-0.53929,1.76691
ETV6,-0.53929,-0.12382
NFIA,-0.5394,0.15147
ZBTB7A,-0.53951,-0.03833
FOXO1,-0.53951,0.19161
MEIS2,-0.53965,-0.06534
CDX2,-0.5398,2.15473
TCF3,-0.53998,-0.11833
DLX5,-0.54001,1.14301
TFAP2C,-0.54006,0.6037
SOX9,-0.54009,0.21723
SREBF1,-0.54014,-0.15578
FOXP3,-0.54021,0.80403
CEBPG,-0.54024,0.22789
ZNF713,-0.54036,0.09838
TEF,-0.54041,-0.46806
TP53,-0.54042,-0.06103
NUP107,-0.54044,0.00081
FOXJ2,-0.54048,-0.10174
TFAP4,-0.54057,0.30334
HOXB5,-0.54059,0.18102
MYB,-0.54073,-0.11523
LBX2,-0.54078,1.06169
HOXA1,-0.54092,0.09858
AR,-0.54099,0.74347
ETS1,-0.541,0.2381
RXRA,-0.54103,0.30198
MEIS3,-0.54111,0.68303
HOXC11,-0.54112,0.58072
EN1,-0.54115,1.50651
TFE3,-0.54122,-0.02572
NFYB,-0.54128,-0.01498
SRF,-0.54136,-0.18877
E2F4,-0.54143,0.14148
RFX2,-0.54144,0.09243
HOXD13,-0.54145,1.61407
GTF2B,-0.54149,0.31598
NFIC,-0.54165,-0.21458
USF1,-0.5417,-0.13268
RARG,-0.5417,-0.50335
E2F2,-0.54188,0.546
TFAP2A,-0.54196,-0.00481
SNAPC4,-0.54197,0.21099
RARB,-0.54204,-0.80509
EMX1,-0.54209,1.22011
APEX2,-0.54214,0.01034
TFAP2A,-0.54252,-0.00481
TEAD1,-0.54261,0.23157
TGIF2,-0.54268,0.13496
EMX2,-0.5428,1.14301
RXRA,-0.54284,0.30198
ESRRB,-0.54286,1.09807
NFIA,-0.5429,0.15147
MAFK,-0.54291,-0.18717
BARHL2,-0.54292,1.83251
TCF3,-0.54292,-0.11833
TWIST1,-0.54295,-0.19509
SMAD3,-0.54297,-0.38086
ZNF350,-0.54298,0.07255
TFAP2A,-0.54309,-0.00481
PAX6,-0.54329,0.87769
NUP107,-0.54334,0.00081
PBX3,-0.54342,0.40978
THRA,-0.54366,-0.23344
NAP1L1,-0.54377,-0.01113
MYBL1,-0.54381,0.21759
PSMA6,-0.54383,-0.06677
BARHL2,-0.54386,1.83251
ZBTB7B,-0.54386,-0.1944
RARB,-0.54392,-0.80509
MYB,-0.54393,-0.11523
SMAD3,-0.54399,-0.38086
NFYA,-0.54399,-0.02481
TP73,-0.54403,1.60948
MAX,-0.54411,0.13856
PBX3,-0.54414,0.40978
BHLHE40,-0.54417,0.12349
TEF,-0.54417,-0.46806
HOXD3,-0.5444,-0.7231
TEF,-0.54441,-0.46806
TCF7,-0.54441,0.17771
FOXJ2,-0.5446,-0.10174
FOXA1,-0.54473,0.59218
ARNT,-0.54474,0.03492
GFI1,-0.54476,0.95373
SUCLG1,-0.5448,-0.06224
SOX2,-0.54493,1.37658
POU5F1,-0.54498,-0.17881
ETS1,-0.5451,0.2381
HINFP,-0.54519,0.09309
PAX3,-0.54523,1.45939
HOXA13,-0.54532,1.58967
EP300,-0.54538,0.07356
TLX2,-0.54541,1.02462
GABPA,-0.54543,-0.14939
OSR1,-0.54545,-0.53062
ZNF8,-0.5455,0.67552
POU6F1,-0.54551,-0.06658
JUND,-0.54554,-0.03685
HIC1,-0.54581,-0.93177
HOXB3,-0.54585,-0.40051
SRF,-0.54589,-0.18877
AR,-0.54592,0.74347
HMX1,-0.5461,1.5563
GLI1,-0.54621,-0.49908
ELF2,-0.54642,0.08062
HOXD13,-0.54647,1.61407
PAX2,-0.54652,1.0569
APEX2,-0.54656,0.01034
SOX8,-0.54686,0.98528
MEIS2,-0.5469,-0.06534
SOX2,-0.54699,1.37658
ZNF75A,-0.54704,0.45123
RARA,-0.54709,-0.25519
MEIS2,-0.5472,-0.06534
PBX1,-0.5474,-0.73611
RORA,-0.54743,1.26779
NFATC1,-0.54746,1.17367
GBX2,-0.5475,1.92073
HAND1,-0.54753,0.94118
SMAD1,-0.5476,-0.01057
EP300,-0.54779,0.07356
MYBL2,-0.548,-0.19707
JUNB,-0.5482,0.12824
PBX1,-0.5482,-0.73611
IRF5,-0.54826,0.56234
NFIC,-0.54829,-0.21458
FOXP3,-0.54848,0.80403
BARHL2,-0.5485,1.83251
TFAP4,-0.54851,0.30334
TBX20,-0.54867,1.45484
USF2,-0.5487,-0.17263
ZBTB6,-0.54876,0.06759
SREBF2,-0.54878,0.00057
MYBL2,-0.54879,-0.19707
THRA,-0.54882,-0.23344
DLX5,-0.54898,1.14301
TFAP2A,-0.54908,-0.00481
PAX9,-0.54909,1.51678
EN1,-0.54929,1.50651
HOXD8,-0.54931,-0.50292
MYBL1,-0.54938,0.21759
CEBPA,-0.54941,1.86054
ID4,-0.5495,-0.49292
JDP2,-0.54951,0.49816
ESX1,-0.54959,1.18752
EGR2,-0.5496,1.68485
MYC,-0.5497,0.22497
ASCC1,-0.5497,0.03715
TCF4,-0.54978,-0.83621
SOX18,-0.5498,1.26007
TBX1,-0.54989,1.76691
HLCS,-0.54997,-0.06321
ESRRA,-0.54997,0.36686
KLF3,-0.55002,0.08462
FLI1,-0.55007,-2.13898
SOX8,-0.55018,0.98528
NFIX,-0.55022,-0.37506
NR4A1,-0.55024,0.49659
SP3,-0.5503,0.05187
REL,-0.55031,0.12775
NR3C1,-0.55033,-0.11267
USF2,-0.55045,-0.17263
CEBPG,-0.55061,0.22789
ETS1,-0.55061,0.2381
TCF4,-0.55061,-0.83621
MYBL2,-0.55062,-0.19707
ESRRA,-0.55071,0.36686
ESX1,-0.55072,1.18752
RFX5,-0.55078,0.24121
NR6A1,-0.55079,0.87404
RARA,-0.55079,-0.25519
SOX18,-0.55095,1.26007
TFAP2C,-0.55098,0.6037
ALX4,-0.55104,1.37058
FOXK1,-0.55107,0.61424
RXRA,-0.55116,0.30198
SREBF2,-0.55116,0.00057
PAX6,-0.55124,0.87769
RFX2,-0.55127,0.09243
GLI2,-0.55141,0.00519
ETV3,-0.55143,0.22639
ID4,-0.55146,-0.49292
STAU2,-0.55154,0.26301
PRDM4,-0.55155,0.23073
FOXB1,-0.5516,1.39094
ERG,-0.55166,1.54862
PAX9,-0.55173,1.51678
ZIC2,-0.55177,2.51825
RUNX3,-0.5518,1.32536
DLX6,-0.55185,1.50012
HMBOX1,-0.55189,0.39571
FOXC2,-0.55192,-2.00079
TFAP2A,-0.55198,-0.00481
HMX2,-0.55203,1.25527
RBM8A,-0.55209,-0.00956
NFIL3,-0.5522,0.04188
PLAGL1,-0.55239,0.61926
TBX20,-0.55243,1.45484
ID4,-0.55245,-0.49292
HAND1,-0.5525,0.94118
JUN,-0.55275,0.26082
TCF3,-0.55275,-0.11833
NFYA,-0.55279,-0.02481
FOXJ3,-0.55284,0.24609
GBX2,-0.55294,1.92073
THRA,-0.55304,-0.23344
MAFB,-0.55307,0.64383
ETV1,-0.55313,0.0445
STAU2,-0.55316,0.26301
VDR,-0.55336,0.18204
USF2,-0.55339,-0.17263
LHX2,-0.5534,1.74567
ZBTB3,-0.55352,0.39844
NFAT5,-0.55354,0.64401
BCL3,-0.55364,-0.30304
NRF1,-0.55388,-0.06707
MYBL2,-0.55394,-0.19707
YY1,-0.55396,0.14859
ETV6,-0.55399,-0.12382
FLI1,-0.55409,-2.13898
BHLHA15,-0.55413,1.12494
STAT3,-0.55426,-0.16234
USF2,-0.55429,-0.17263
ETV5,-0.55433,0.00428
TP53,-0.55443,-0.06103
ZNF8,-0.55444,0.67552
SRF,-0.55475,-0.18877
ETS1,-0.55485,0.2381
MLX,-0.55493,0.04225
MYB,-0.55502,-0.11523
IRX5,-0.55509,0.75392
AHR,-0.55512,-0.31593
MECP2,-0.55521,0.18722
SOX17,-0.55524,-2.18298
HOXC13,-0.55538,0.9857
ELK4,-0.55538,0.1604
AR,-0.55542,0.74347
NKX3-2,-0.55549,1.28354
ERG,-0.55567,1.54862
RUNX2,-0.55581,-0.44748
EGR1,-0.55595,0.22639
ETV1,-0.55602,0.0445
ELK1,-0.55614,-0.14318
ZBTB6,-0.55619,0.06759
ERG,-0.55622,1.54862
ZBTB7A,-0.55625,-0.03833
TCF12,-0.55626,-0.03309
ERG,-0.55631,1.54862
